window_seconds,resample_freq,model,random_state,test_loss,test_accuracy,n_samples,trained_in_this_run
1.0,250.0,1D-CNN,2,0.723232090473175,0.7237318754196167,22077,True
1.0,250.0,2D-CNN,2,0.6083604097366333,0.7892512083053589,22077,True
1.5,250.0,1D-CNN,2,0.7743581533432007,0.7150635123252869,14691,True
1.5,250.0,2D-CNN,2,0.6714165210723877,0.7509074211120605,14691,True
2.0,250.0,1D-CNN,2,0.826420247554779,0.7189581990242004,11004,True
2.0,250.0,2D-CNN,2,0.7410021424293518,0.7159297466278076,11004,True
