window_seconds,resample_freq,model,random_state,test_loss,test_accuracy,n_samples,trained_in_this_run
1.0,250.0,1D-CNN,1,0.724240243434906,0.72826087474823,22077,True
1.0,250.0,2D-CNN,1,0.6329656839370728,0.7829106450080872,22077,True
1.5,250.0,1D-CNN,1,0.712719202041626,0.728675127029419,14691,True
1.5,250.0,2D-CNN,1,0.6522067189216614,0.7681488394737244,14691,True
2.0,250.0,1D-CNN,1,0.7634036540985107,0.7189581990242004,11004,True
2.0,250.0,2D-CNN,1,0.7637878060340881,0.7244094610214233,11004,True
