accuracy,loss,val_accuracy,val_loss,learning_rate
0.3583484888076782,1.4314398765563965,0.26226529479026794,1.64942467212677,0.0010000000474974513
0.5085691809654236,1.1662520170211792,0.4809206426143646,1.2362040281295776,0.0010000000474974513
0.5660867094993591,1.0528149604797363,0.49485161900520325,1.2240735292434692,0.0010000000474974513
0.605816662311554,0.9836052656173706,0.5154451727867126,1.210127830505371,0.0010000000474974513
0.6333419680595398,0.9217332601547241,0.6105390787124634,0.9628461599349976,0.0010000000474974513
0.6529473066329956,0.8824084997177124,0.6226529479026794,0.9368480443954468,0.0010000000474974513
0.6673591136932373,0.8400447964668274,0.6184130907058716,0.9446389079093933,0.0010000000474974513
0.6824201345443726,0.8132703900337219,0.623258650302887,0.9285166263580322,0.0010000000474974513
0.697870671749115,0.76765376329422,0.6680799722671509,0.8793960809707642,0.0010000000474974513
0.7055310606956482,0.7591506242752075,0.5923682451248169,1.0897278785705566,0.0010000000474974513
0.7148792743682861,0.7306548953056335,0.6886735558509827,0.8244204521179199,0.0010000000474974513
0.7215009331703186,0.7162745594978333,0.692307710647583,0.7987542152404785,0.0010000000474974513
0.7361724376678467,0.6906876564025879,0.7098727822303772,0.7858831882476807,0.0010000000474974513
0.7447416186332703,0.6687329411506653,0.645063579082489,0.9521917104721069,0.0010000000474974513
0.7538301944732666,0.6391754746437073,0.7007874250411987,0.8164235353469849,0.0010000000474974513
0.7568163871765137,0.6354474425315857,0.6523319482803345,0.908511757850647,0.0010000000474974513
0.7796676158905029,0.5836178064346313,0.7141126394271851,0.7705175876617432,0.0005000000237487257
0.7827836871147156,0.5599212050437927,0.6929134130477905,0.8560376763343811,0.0005000000237487257
0.7955076694488525,0.5478998422622681,0.6880678534507751,0.8718262910842896,0.0005000000237487257
0.8022591471672058,0.528464138507843,0.6959418654441833,0.8364626169204712,0.0005000000237487257
