,Disgust,Fear,Sad,Neutral,Happy
Disgust,0.533213644524237,0.12926391382405744,0.20466786355475763,0.05565529622980251,0.07719928186714542
Fear,0.028023598820058997,0.7522123893805309,0.07669616519174041,0.06932153392330384,0.07374631268436578
Sad,0.02549246813441483,0.04519119351100811,0.8296639629200464,0.056778679026651215,0.04287369640787949
Neutral,0.010510510510510511,0.05405405405405406,0.04954954954954955,0.8768768768768769,0.009009009009009009
Happy,0.009124087591240875,0.032846715328467155,0.021897810218978103,0.010948905109489052,0.9251824817518248
