,Disgust,Fear,Sad,Neutral,Happy
Disgust,0.6510791366906474,0.08992805755395683,0.11151079136690648,0.08992805755395683,0.05755395683453238
Fear,0.14540059347181009,0.6498516320474778,0.04154302670623145,0.13353115727002968,0.02967359050445104
Sad,0.14153132250580047,0.060324825986078884,0.6496519721577726,0.11600928074245939,0.03248259860788863
Neutral,0.07228915662650602,0.06325301204819277,0.02710843373493976,0.822289156626506,0.015060240963855422
Happy,0.03296703296703297,0.07326007326007326,0.02197802197802198,0.03296703296703297,0.8388278388278388
