,Disgust,Fear,Sad,Neutral,Happy
Disgust,0.7816711590296496,0.04851752021563342,0.1078167115902965,0.05390835579514825,0.008086253369272238
Fear,0.17738359201773837,0.6075388026607539,0.07538802660753881,0.09977827050997783,0.03991130820399113
Sad,0.17217391304347826,0.04521739130434783,0.7513043478260869,0.020869565217391306,0.010434782608695653
Neutral,0.045146726862302484,0.07674943566591422,0.04740406320541761,0.8239277652370203,0.006772009029345372
Happy,0.12362637362637363,0.027472527472527472,0.024725274725274724,0.016483516483516484,0.8076923076923077
