,Disgust,Fear,Sad,Neutral,Happy
Disgust,0.6804308797127468,0.10951526032315978,0.11669658886894076,0.06463195691202872,0.02872531418312388
Fear,0.11209439528023599,0.6651917404129793,0.0855457227138643,0.09734513274336283,0.03982300884955752
Sad,0.15990730011587487,0.08922363847045191,0.6465816917728853,0.08574739281575898,0.01853997682502897
Neutral,0.06756756756756757,0.07807807807807808,0.03753753753753754,0.8138138138138138,0.003003003003003003
Happy,0.06934306569343066,0.032846715328467155,0.032846715328467155,0.012773722627737226,0.8521897810218978
