,precision,recall,f1-score,support
Disgust,0.5714285714285714,0.6469002695417789,0.606826801517067,371.0
Fear,0.722488038277512,0.6696230598669624,0.6950517836593786,451.0
Sad,0.7563352826510721,0.6747826086956522,0.7132352941176471,575.0
Neutral,0.713472485768501,0.8487584650112867,0.7752577319587629,443.0
Happy,0.9202453987730062,0.8241758241758241,0.8695652173913043,364.0
accuracy,0.7286751361161524,0.7286751361161524,0.7286751361161524,0.7286751361161524
macro avg,0.7367939553797325,0.7328480454583008,0.7319873657288319,2204.0
weighted avg,0.7367388970673069,0.7286751361161524,0.729887616288124,2204.0
