,precision,recall,f1-score,support
Disgust,0.8062015503875969,0.5606469002695418,0.6613672496025437,371.0
Fear,0.8063583815028902,0.6186252771618626,0.7001254705144291,451.0
Sad,0.7400611620795107,0.8417391304347827,0.7876322213181448,575.0
Neutral,0.69,0.9345372460496614,0.7938638542665388,443.0
Happy,0.8901734104046243,0.8461538461538461,0.8676056338028169,364.0
accuracy,0.7681488203266787,0.7681488203266787,0.7681488203266787,0.7681488203266787
macro avg,0.7865589008749244,0.7603404800139388,0.7621188859008947,2204.0
weighted avg,0.7794903334095299,0.7681488203266787,0.7629321697852934,2204.0
