,precision,recall,f1-score,support
Disgust,0.6514522821576764,0.564748201438849,0.605009633911368,278.0
Fear,0.6916167664670658,0.685459940652819,0.6885245901639344,337.0
Sad,0.7553956834532374,0.7325581395348837,0.743801652892562,430.0
Neutral,0.6601731601731602,0.9186746987951807,0.7682619647355163,332.0
Happy,0.9543147208121827,0.6861313868613139,0.7983014861995754,274.0
accuracy,0.7244094488188977,0.7244094488188977,0.7244094488188977,0.7244094488188977
macro avg,0.7425905226126644,0.7175144734566092,0.7207798655805912,1651.0
weighted avg,0.7387392194452784,0.7244094488188977,0.7231119051285785,1651.0
