,precision,recall,f1-score,support
Disgust,0.5746031746031746,0.6510791366906474,0.6104553119730185,278.0
Fear,0.680672268907563,0.7210682492581603,0.7002881844380403,337.0
Sad,0.6728778467908902,0.7558139534883721,0.7119386637458927,430.0
Neutral,0.8339350180505415,0.6957831325301205,0.7586206896551724,332.0
Happy,0.9452054794520548,0.7554744525547445,0.8397565922920892,274.0
accuracy,0.7189582071471835,0.7189582071471835,0.7189582071471835,0.7189582071471835
macro avg,0.7414587575608449,0.7158437849044089,0.7242118884208426,1651.0
weighted avg,0.7355035969983384,0.7189582071471835,0.7230724988179299,1651.0
