,precision,recall,f1-score,support
Disgust,0.7567567567567568,0.6032315978456014,0.6713286713286714,557.0
Fear,0.7870216306156406,0.6986706056129985,0.7402190923317684,677.0
Sad,0.797281993204983,0.8157589803012746,0.8064146620847652,863.0
Neutral,0.7335766423357665,0.9054054054054054,0.8104838709677419,666.0
Happy,0.8487544483985765,0.8688524590163934,0.8586858685868587,549.0
accuracy,0.7829106280193237,0.7829106280193237,0.7829106280193237,0.7829106280193237
macro avg,0.7846782942623447,0.7783838096363346,0.7774264330599612,3312.0
weighted avg,0.7840911091614257,0.7829106280193237,0.7796482635074068,3312.0
