,precision,recall,f1-score,support
Disgust,0.6351351351351351,0.5906642728904847,0.6120930232558139,557.0
Fear,0.6814159292035398,0.6824224519940916,0.6819188191881919,677.0
Sad,0.7438307873090482,0.7334878331402086,0.7386231038506418,863.0
Neutral,0.7273954116059379,0.8093093093093093,0.7661691542288557,666.0
Happy,0.8568702290076335,0.8178506375227687,0.83690587138863,549.0
accuracy,0.7282608695652174,0.7282608695652174,0.7282608695652174,0.7282608695652174
macro avg,0.7289294984522589,0.7267469009713727,0.7271419943824267,3312.0
weighted avg,0.7282252184914012,0.7282608695652174,0.7275835064238447,3312.0
