,precision,recall,f1-score,support
Disgust,0.5606508875739645,0.6804308797127468,0.6147607461476075,557.0
Fear,0.6843702579666161,0.6651917404129793,0.674644727000748,678.0
Sad,0.7707182320441989,0.6465816917728853,0.7032136105860114,863.0
Neutral,0.7475862068965518,0.8138138138138138,0.7792954708842559,666.0
Happy,0.884469696969697,0.8521897810218978,0.8680297397769516,548.0
accuracy,0.7237318840579711,0.7237318840579711,0.7237318840579711,0.7237318840579711
macro avg,0.7295590562902057,0.7316415813468646,0.7279888588791149,3312.0
weighted avg,0.731883218981493,0.7237318840579711,0.725058963603,3312.0
