,precision,recall,f1-score,support
Disgust,0.5884244372990354,0.658273381294964,0.6213921901528013,278.0
Fear,0.610738255033557,0.8100890207715133,0.6964285714285714,337.0
Sad,0.8029850746268656,0.6241299303944315,0.7023498694516971,431.0
Neutral,0.7601078167115903,0.8493975903614458,0.802275960170697,332.0
Happy,0.9625668449197861,0.6593406593406593,0.782608695652174,273.0
accuracy,0.7189582071471835,0.7189582071471835,0.7189582071471835,0.7189582071471835
macro avg,0.7449644857181669,0.7202461164326028,0.7210110573711882,1651.0
weighted avg,0.7453809185287518,0.7189582071471835,0.7208746480056353,1651.0
