,precision,recall,f1-score,support
Disgust,0.5430711610486891,0.7816711590296496,0.6408839779005525,371.0
Fear,0.7569060773480663,0.6075388026607539,0.6740467404674046,451.0
Sad,0.8059701492537313,0.7513043478260869,0.7776777677767777,575.0
Neutral,0.8147321428571429,0.8239277652370203,0.819304152637486,443.0
Happy,0.9074074074074074,0.8076923076923077,0.8546511627906976,364.0
accuracy,0.7509074410163339,0.7509074410163339,0.7509074410163339,0.7509074410163339
macro avg,0.7656173875830075,0.7544268764891637,0.7533127603145836,2204.0
weighted avg,0.7701903416678528,0.7509074410163339,0.7545247346178637,2204.0
