,precision,recall,f1-score,support
Disgust,0.8485714285714285,0.533213644524237,0.6549062844542448,557.0
Fear,0.7555555555555555,0.7522123893805309,0.753880266075388,678.0
Sad,0.7723840345199569,0.8296639629200464,0.8,863.0
Neutral,0.8145048814504882,0.8768768768768769,0.8445408532176428,666.0
Happy,0.7884914463452566,0.9251824817518248,0.8513853904282116,548.0
accuracy,0.7892512077294686,0.7892512077294686,0.7892512077294686,0.7892512077294686
macro avg,0.795901469288537,0.7834298710907032,0.7809425588350976,3312.0
weighted avg,0.7928870585189918,0.7892512077294686,0.7836162509171912,3312.0
