,precision,recall,f1-score,support
Disgust,0.7109375,0.49056603773584906,0.580542264752791,371.0
Fear,0.5814332247557004,0.7915742793791575,0.6704225352112676,451.0
Sad,0.7827956989247312,0.6330434782608696,0.7,575.0
Neutral,0.7005545286506469,0.8555304740406321,0.7703252032520326,443.0
Happy,0.8963414634146342,0.8076923076923077,0.8497109826589595,364.0
accuracy,0.7150635208711433,0.7150635208711433,0.7150635208711433,0.7150635208711433
macro avg,0.7344124831491425,0.7156813154217632,0.7142001971750102,2204.0
weighted avg,0.7317176373056736,0.7150635208711433,0.7126999121288924,2204.0
