,precision,recall,f1-score,support
Disgust,0.558641975308642,0.6510791366906474,0.6013289036544851,278.0
Fear,0.7041800643086816,0.6498516320474778,0.6759259259259259,337.0
Sad,0.8235294117647058,0.6496519721577726,0.7263294422827496,431.0
Neutral,0.6791044776119403,0.822289156626506,0.7438692098092643,332.0
Happy,0.8357664233576643,0.8388278388278388,0.8372943327239488,273.0
accuracy,0.7159297395517868,0.7159297395517868,0.7159297395517868,0.7159297395517868
macro avg,0.7202444704703268,0.7223399472700486,0.7169495628792748,1651.0
weighted avg,0.7275464854162464,0.7159297395517868,0.7168688021606073,1651.0
