,Disgust,Fear,Sad,Neutral,Happy
Disgust,0.6858168761220825,0.07719928186714542,0.1059245960502693,0.06642728904847396,0.06463195691202872
Fear,0.06932153392330384,0.6666666666666666,0.06489675516224189,0.12831858407079647,0.07079646017699115
Sad,0.13557358053302435,0.0440324449594438,0.7149478563151797,0.054461181923522596,0.05098493626882966
Neutral,0.03453453453453453,0.04804804804804805,0.05405405405405406,0.8528528528528528,0.010510510510510511
Happy,0.012773722627737226,0.020072992700729927,0.014598540145985401,0.025547445255474453,0.927007299270073
