,Disgust,Fear,Sad,Neutral,Happy
Disgust,0.7331536388140162,0.07008086253369272,0.1725067385444744,0.013477088948787063,0.01078167115902965
Fear,0.19290465631929046,0.6430155210643016,0.11086474501108648,0.031042128603104215,0.022172949002217297
Sad,0.15130434782608695,0.036521739130434785,0.7756521739130435,0.020869565217391306,0.01565217391304348
Neutral,0.0654627539503386,0.16027088036117382,0.1489841986455982,0.6117381489841986,0.013544018058690745
Happy,0.15384615384615385,0.03571428571428571,0.03571428571428571,0.016483516483516484,0.7582417582417582
