,Disgust,Fear,Sad,Neutral,Happy
Disgust,0.4339622641509434,0.2722371967654987,0.20215633423180593,0.07008086253369272,0.0215633423180593
Fear,0.03991130820399113,0.8226164079822617,0.06430155210643015,0.06208425720620843,0.011086474501108648
Sad,0.05565217391304348,0.16521739130434782,0.68,0.09391304347826086,0.0052173913043478265
Neutral,0.011286681715575621,0.14446952595936793,0.045146726862302484,0.7945823927765236,0.004514672686230248
Happy,0.057692307692307696,0.12362637362637363,0.0521978021978022,0.013736263736263736,0.7527472527472527
