,Disgust,Fear,Sad,Neutral,Happy
Disgust,0.6294964028776978,0.15827338129496402,0.14028776978417265,0.05755395683453238,0.014388489208633094
Fear,0.06528189910979229,0.8130563798219584,0.020771513353115726,0.09495548961424333,0.005934718100890208
Sad,0.12761020881670534,0.19721577726218098,0.5498839907192575,0.12296983758700696,0.002320185614849188
Neutral,0.006024096385542169,0.09939759036144578,0.02108433734939759,0.8704819277108434,0.0030120481927710845
Happy,0.09523809523809523,0.10256410256410256,0.018315018315018316,0.03663003663003663,0.7472527472527473
