,Disgust,Fear,Sad,Neutral,Happy
Disgust,0.6510791366906474,0.05755395683453238,0.2517985611510791,0.039568345323741004,0.0
Fear,0.11275964391691394,0.7210682492581603,0.09198813056379822,0.05341246290801187,0.020771513353115726
Sad,0.09534883720930233,0.10697674418604651,0.7558139534883721,0.030232558139534883,0.011627906976744186
Neutral,0.045180722891566265,0.11746987951807229,0.14156626506024098,0.6957831325301205,0.0
Happy,0.145985401459854,0.04744525547445255,0.0364963503649635,0.014598540145985401,0.7554744525547445
