,Disgust,Fear,Sad,Neutral,Happy
Disgust,0.5606469002695418,0.0646900269541779,0.23450134770889489,0.10242587601078167,0.03773584905660377
Fear,0.037694013303769404,0.6186252771618626,0.12638580931263857,0.1729490022172949,0.04434589800443459
Sad,0.022608695652173914,0.04173913043478261,0.8417391304347827,0.09043478260869565,0.0034782608695652175
Neutral,0.002257336343115124,0.02708803611738149,0.03160270880361174,0.9345372460496614,0.004514672686230248
Happy,0.0521978021978022,0.019230769230769232,0.03296703296703297,0.04945054945054945,0.8461538461538461
