,Disgust,Fear,Sad,Neutral,Happy
Disgust,0.6032315978456014,0.06642728904847396,0.1651705565529623,0.1059245960502693,0.059245960502693
Fear,0.060561299852289516,0.6986706056129985,0.06794682422451995,0.11964549483013294,0.053175775480059084
Sad,0.046349942062572425,0.04287369640787949,0.8157589803012746,0.08111239860950174,0.013904982618771726
Neutral,0.016516516516516516,0.04354354354354354,0.028528528528528527,0.9054054054054054,0.006006006006006006
Happy,0.029143897996357013,0.04553734061930783,0.04007285974499089,0.01639344262295082,0.8688524590163934
