,Disgust,Fear,Sad,Neutral,Happy
Disgust,0.564748201438849,0.10431654676258993,0.20503597122302158,0.1223021582733813,0.0035971223021582736
Fear,0.05934718100890208,0.685459940652819,0.05934718100890208,0.18694362017804153,0.008902077151335312
Sad,0.07209302325581396,0.09069767441860466,0.7325581395348837,0.09302325581395349,0.011627906976744186
Neutral,0.006024096385542169,0.0391566265060241,0.03614457831325301,0.9186746987951807,0.0
Happy,0.11313868613138686,0.08029197080291971,0.04744525547445255,0.072992700729927,0.6861313868613139
