,Disgust,Fear,Sad,Neutral,Happy
Disgust,0.5906642728904847,0.10951526032315978,0.17235188509874327,0.08617594254937164,0.04129263913824058
Fear,0.08124076809453472,0.6824224519940916,0.06942392909896603,0.103397341211226,0.06351550960118169
Sad,0.10081112398609501,0.07995365005793743,0.7334878331402086,0.07647740440324449,0.009269988412514484
Neutral,0.024024024024024024,0.09759759759759759,0.06756756756756757,0.8093093093093093,0.0015015015015015015
Happy,0.056466302367941715,0.03825136612021858,0.0546448087431694,0.03278688524590164,0.8178506375227687
