window_seconds,resample_freq,model,test_loss,test_accuracy,n_samples,trained_in_this_run
1.0,250.0,1D-CNN,0.8146798014640808,0.7013888955116272,22077,True
1.0,250.0,2D-CNN,0.654138445854187,0.7629830837249756,22077,True
1.5,250.0,1D-CNN,0.7807570695877075,0.7028130888938904,14691,True
1.5,250.0,2D-CNN,0.7780858874320984,0.7055354118347168,14691,True
2.0,250.0,1D-CNN,0.7850573062896729,0.7141126394271851,11004,True
2.0,250.0,2D-CNN,0.6401745676994324,0.7728649377822876,11004,True
