accuracy,loss,val_accuracy,val_loss,learning_rate
0.28999319672584534,1.543463110923767,0.2658802270889282,3.593181848526001,0.0010000000474974513
0.35427403450012207,1.4641395807266235,0.26406532526016235,3.3162882328033447,0.0010000000474974513
0.4200136065483093,1.3507344722747803,0.34210526943206787,2.108184337615967,0.0010000000474974513
0.4685403108596802,1.2452392578125,0.42967331409454346,1.398421049118042,0.0010000000474974513
0.51414954662323,1.1566625833511353,0.4156079888343811,1.3956183195114136,0.0010000000474974513
0.5583973526954651,1.0820666551589966,0.4705081582069397,1.3630990982055664,0.0010000000474974513
0.5885441899299622,1.0061441659927368,0.5571687817573547,1.1087197065353394,0.0010000000474974513
0.6152873635292053,0.9603770971298218,0.5421960353851318,1.1304162740707397,0.0010000000474974513
0.6422250270843506,0.9007113575935364,0.5381125211715698,1.2035874128341675,0.0010000000474974513
0.6590489149093628,0.8628333806991577,0.5666969418525696,1.0961726903915405,0.0010000000474974513
0.6785957217216492,0.8231927156448364,0.6075317859649658,1.0233025550842285,0.0010000000474974513
0.6947388648986816,0.7815908789634705,0.6565335988998413,0.8952506184577942,0.0010000000474974513
0.7135077118873596,0.7548931241035461,0.6143375635147095,1.0325696468353271,0.0010000000474974513
0.7295536398887634,0.7185407280921936,0.6987295746803284,0.7982369661331177,0.0010000000474974513
0.7443352937698364,0.6872698664665222,0.6188747882843018,0.979017436504364,0.0010000000474974513
0.7516288757324219,0.6659231185913086,0.6474591493606567,0.9889856576919556,0.0010000000474974513
0.7618399262428284,0.6461342573165894,0.6819419264793396,0.9497761726379395,0.0010000000474974513
0.7703005075454712,0.6212549209594727,0.5812159776687622,1.2037569284439087,0.0010000000474974513
0.7915977835655212,0.5796225666999817,0.7372958064079285,0.776395857334137,0.0005000000237487257
0.8008363246917725,0.5593060255050659,0.7382032871246338,0.7426236867904663,0.0005000000237487257
0.8044344782829285,0.5480032563209534,0.7386569976806641,0.7836253046989441,0.0005000000237487257
0.8155207633972168,0.5210074782371521,0.7667876482009888,0.6846055388450623,0.0005000000237487257
0.8170767426490784,0.5174201726913452,0.7372958064079285,0.7650473117828369,0.0005000000237487257
0.8207721710205078,0.5056796669960022,0.757713258266449,0.7452828884124756,0.0005000000237487257
0.8227171301841736,0.4987828731536865,0.7223230600357056,0.796532392501831,0.0005000000237487257
0.8309831619262695,0.48290789127349854,0.7377495169639587,0.7933726906776428,0.0005000000237487257
0.8408052325248718,0.46029072999954224,0.803992748260498,0.5659697651863098,0.0002500000118743628
0.8395410180091858,0.45593294501304626,0.7935571670532227,0.6184453368186951,0.0002500000118743628
0.8441116213798523,0.4498787224292755,0.8085299730300903,0.560126543045044,0.0002500000118743628
0.8519887328147888,0.4337114989757538,0.8026315569877625,0.570609450340271,0.0002500000118743628
