,precision,recall,f1-score,support
Disgust,0.567398119122257,0.6499102333931778,0.605857740585774,557.0
Fear,0.7753479125248509,0.5752212389380531,0.6604572396274344,678.0
Sad,0.6238615664845173,0.7937427578215527,0.6986231514533401,863.0
Neutral,0.7557251908396947,0.7432432432432432,0.7494322482967449,666.0
Happy,0.9354066985645934,0.7135036496350365,0.8095238095238095,548.0
accuracy,0.7013888888888888,0.7013888888888888,0.7013888888888888,0.7013888888888888
macro avg,0.7315478975071826,0.6951242246062126,0.7047788378974206,3312.0
weighted avg,0.723440524405712,0.7013888888888888,0.7037758075672068,3312.0
