,precision,recall,f1-score,support
Disgust,0.512241054613936,0.7331536388140162,0.6031042128603105,371.0
Fear,0.6888361045130641,0.6430155210643016,0.6651376146788991,451.0
Sad,0.6979655712050078,0.7756521739130435,0.7347611202635914,575.0
Neutral,0.8798701298701299,0.6117381489841986,0.7217043941411452,443.0
Happy,0.9049180327868852,0.7582417582417582,0.8251121076233184,364.0
accuracy,0.7055353901996371,0.7055353901996371,0.7055353901996371,0.7055353901996371
macro avg,0.7367661785978046,0.7043602482034637,0.709963889913453,2204.0
weighted avg,0.7355759298125842,0.7055353901996371,0.7106498299103171,2204.0
