,precision,recall,f1-score,support
Disgust,0.6879432624113475,0.697841726618705,0.6928571428571428,278.0
Fear,0.7620817843866171,0.6083086053412463,0.6765676567656765,337.0
Sad,0.837696335078534,0.7424593967517401,0.7872078720787208,431.0
Neutral,0.6986607142857143,0.9427710843373494,0.8025641025641026,332.0
Happy,0.9037037037037037,0.8937728937728938,0.8987108655616943,273.0
accuracy,0.7728649303452453,0.7728649303452453,0.7728649303452453,0.7728649303452453
macro avg,0.7780171599731833,0.7770307413643869,0.7715815279654674,1651.0
weighted avg,0.780002045403671,0.7728649303452453,0.7702625846516487,1651.0
