,precision,recall,f1-score,support
Disgust,0.6631944444444444,0.6858168761220825,0.6743159752868491,557.0
Fear,0.7847222222222222,0.6666666666666666,0.7208931419457735,678.0
Sad,0.8075916230366492,0.7149478563151797,0.7584511370620775,863.0
Neutral,0.7543160690571049,0.8528528528528528,0.8005637773079634,666.0
Happy,0.7900466562986003,0.927007299270073,0.8530646515533166,548.0
accuracy,0.7629830917874396,0.7629830917874396,0.7629830917874396,0.7629830917874396
macro avg,0.7599742030118042,0.7694583102453708,0.761457736631196,3312.0
weighted avg,0.7650098467833683,0.7629830917874396,0.7607360460437509,3312.0
