,precision,recall,f1-score,support
Disgust,0.625,0.6294964028776978,0.6272401433691757,278.0
Fear,0.5905172413793104,0.8130563798219584,0.6841448189762797,337.0
Sad,0.8033898305084746,0.5498839907192575,0.6528925619834711,431.0
Neutral,0.7225,0.8704819277108434,0.7896174863387978,332.0
Happy,0.9622641509433962,0.7472527472527473,0.8412371134020619,273.0
accuracy,0.7141126589945488,0.7141126589945488,0.7141126589945488,0.7141126589945488
macro avg,0.7407342445662363,0.722034289676501,0.7190264248139572,1651.0
weighted avg,0.7399051729264248,0.7141126589945488,0.7135899427557584,1651.0
