,precision,recall,f1-score,support
Disgust,0.679324894514768,0.4339622641509434,0.5296052631578947,371.0
Fear,0.5488165680473372,0.8226164079822617,0.6583850931677019,451.0
Sad,0.7322097378277154,0.68,0.7051397655545536,575.0
Neutral,0.7569892473118279,0.7945823927765236,0.775330396475771,443.0
Happy,0.9383561643835616,0.7527472527472527,0.8353658536585366,364.0
accuracy,0.7028130671506352,0.7028130671506352,0.7028130671506352,0.7028130671506352
macro avg,0.7311393224170419,0.6967816635313963,0.7007652744028916,2204.0
weighted avg,0.7248068455989204,0.7028130671506352,0.701640259171758,2204.0
